rails_session_id	eye	start_event_name	start_event_stimulus_id	stop_event_name	stop_event_stimulus_id	event type	number	start	end	duration	location X	location Y	dispersion X	dispersion Y	avg. pupil size X	avg. pupil size Y
21	left	stimulus_survey	0	stimulus_3819	3819	Fixation L	1	79875120704	79875404149	283445	487.7997	164.3451	3	95	14.01	14.01
21	right	stimulus_survey	0	stimulus_3819	3819	Fixation R	1	79875120704	79875404149	283445	487.7997	164.3451	3	95	14.08	14.08
21	left	stimulus_3819	3819	stimulus_3819	3819	Fixation L	2	79875420669	79875504323	83654	482.4984	113.1095	25	71	14.13	14.13
21	right	stimulus_3819	3819	stimulus_3819	3819	Fixation R	2	79875420669	79875504323	83654	482.4984	113.1095	25	71	14.17	14.17
21	left	stimulus_3819	3819	stimulus_3819	3819	Fixation L	3	79875520679	79875820667	299988	397.9492	42.6986	46	31	14.06	14.06
21	right	stimulus_3819	3819	stimulus_3819	3819	Fixation R	3	79875520679	79875820667	299988	397.9492	42.6986	46	31	13.85	13.85
21	left	stimulus_3819	3819	stimulus_3819	3819	Fixation L	4	79875837354	79875977465	140111	510.6365	40.2057	62	5	13.97	13.97
21	right	stimulus_3819	3819	stimulus_3819	3819	Fixation R	4	79875837354	79875977465	140111	510.6365	40.2057	62	5	13.84	13.84
21	left	stimulus_3819	3819	stimulus_3819	3819	Fixation L	5	79875987343	79876620643	633300	580.4599	37.5483	80	10	14.00	14.00
21	right	stimulus_3819	3819	stimulus_3819	3819	Fixation R	5	79875987343	79876620643	633300	580.4599	37.5483	80	10	13.86	13.86
21	left	stimulus_3819	3819	stimulus_3819	3819	Fixation L	6	79876637222	79876837225	200003	429.7873	84.9951	45	51	14.11	14.11
21	right	stimulus_3819	3819	stimulus_3819	3819	Fixation R	6	79876637222	79876837225	200003	429.7873	84.9951	45	51	13.88	13.88
21	left	stimulus_3819	3819	stimulus_3819	3819	Fixation L	7	79876853907	79877187387	333480	378.2071	108.5053	28	16	14.17	14.17
21	right	stimulus_3819	3819	stimulus_3819	3819	Fixation R	7	79876853907	79877187387	333480	378.2071	108.5053	28	16	13.94	13.94
21	left	stimulus_3819	3819	stimulus_3819	3819	Fixation L	8	79877204103	79877320705	116602	455.8198	122.8184	7	7	13.92	13.92
21	right	stimulus_3819	3819	stimulus_3819	3819	Fixation R	8	79877204103	79877320705	116602	455.8198	122.8184	7	7	13.76	13.76
21	left	stimulus_3819	3819	stimulus_3819	3819	Fixation L	9	79877420674	79878420557	999883	448.1692	119.1263	73	24	13.48	13.48
21	right	stimulus_3819	3819	stimulus_3819	3819	Fixation R	9	79877420674	79878420557	999883	448.1692	119.1263	73	24	13.31	13.31
21	left	stimulus_3819	3819	stimulus_3819	3819	Fixation L	10	79878437122	79878904043	466921	538.1934	115.2854	76	19	13.27	13.27
21	right	stimulus_3819	3819	stimulus_3819	3819	Fixation R	10	79878437122	79878904043	466921	538.1934	115.2854	76	19	13.12	13.12
21	left	stimulus_3819	3819	stimulus_3819	3819	Fixation L	11	79878920554	79879288294	367740	621.0285	112.3323	83	13	13.30	13.30
21	right	stimulus_3819	3819	stimulus_3819	3819	Fixation R	11	79878920554	79879288294	367740	621.0285	112.3323	83	13	13.19	13.19
21	left	stimulus_3819	3819	stimulus_3819	3819	Fixation L	12	79879303839	79879753797	449958	707.1495	103.0082	61	16	13.29	13.29
