rails_session_id	eye	start_event_name	start_event_stimulus_id	stop_event_name	stop_event_stimulus_id	event type	number	start	end	duration	location X	location Y	dispersion X	dispersion Y	avg. pupil size X	avg. pupil size Y
25	left	stimulus_survey	0	stimulus_3775	3775	Fixation L	1	99663688055	99664121426	433371	396.7514	132.8283	7	91	10.86	10.86
25	right	stimulus_survey	0	stimulus_3775	3775	Fixation R	1	99663688055	99664121426	433371	396.7514	132.8283	7	91	11.17	11.17
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	2	99664146405	99664388095	241690	380.4657	139.6069	14	22	10.78	10.78
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	2	99664146405	99664388095	241690	380.4657	139.6069	14	22	11.07	11.07
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	3	99664404616	99664556619	152003	372.1896	38.5135	7	50	10.58	10.58
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	3	99664404616	99664556619	152003	372.1896	38.5135	7	50	10.82	10.82
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	4	99664642632	99664971599	328967	414.4055	30.8092	84	15	10.46	10.46
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	4	99664642632	99664971599	328967	414.4055	30.8092	84	15	10.68	10.68
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	5	99664988099	99665356120	368021	505.1455	26.4695	72	7	10.64	10.64
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	5	99664988099	99665356120	368021	505.1455	26.4695	72	7	10.91	10.91
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	6	99665372108	99665504682	132574	631.2187	18.3403	17	2	10.86	10.86
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	6	99665372108	99665504682	132574	631.2187	18.3403	17	2	11.12	11.12
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	7	99665571430	99665757975	186545	668.3949	15.5939	75	11	10.84	10.84
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	7	99665571430	99665757975	186545	668.3949	15.5939	75	11	11.17	11.17
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	8	99665771705	99666204688	432983	747.9749	3.9246	78	17	10.83	10.83
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	8	99665771705	99666204688	432983	747.9749	3.9246	78	17	11.11	11.11
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	9	99666249135	99666404620	155485	424.2514	39.3671	67	30	10.94	10.94
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	9	99666249135	99666404620	155485	424.2514	39.3671	67	30	11.09	11.09
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	10	99666421310	99666821306	399996	367.8812	59.962	9	29	10.96	10.96
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	10	99666421310	99666821306	399996	367.8812	59.962	9	29	11.19	11.19
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	11	99666838229	99667971418	1133189	516.135	74.7699	62	34	11.10	11.10
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	11	99666838229	99667971418	1133189	516.135	74.7699	62	34	11.32	11.32
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	12	99668004525	99668921177	916652	373.8887	150.6167	47	51	11.16	11.16
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	12	99668004525	99668921177	916652	373.8887	150.6167	47	51	11.26	11.26
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	13	99668939486	99669404377	464891	433.4493	145.6575	62	33	11.08	11.08
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	13	99668939486	99669404377	464891	433.4493	145.6575	62	33	11.26	11.26
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	14	99669421170	99669872063	450893	513.8783	154.7913	64	34	11.01	11.01
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	14	99669421170	99669872063	450893	513.8783	154.7913	64	34	11.29	11.29
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	15	99669887796	99670321031	433235	597.5501	164.4893	73	14	10.76	10.76
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	15	99669887796	99670321031	433235	597.5501	164.4893	73	14	11.06	11.06
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	16	99670347480	99671021034	673554	649.889	149.042	81	18	10.60	10.60
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	16	99670347480	99671021034	673554	649.889	149.042	81	18	10.91	10.91
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	17	99671046976	99671642607	595631	729.7613	160.2541	63	33	10.27	10.27
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	17	99671046976	99671642607	595631	729.7613	160.2541	63	33	10.73	10.73
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	18	99671654366	99671904245	249879	798.3576	124.8723	69	30	10.13	10.13
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	18	99671654366	99671904245	249879	798.3576	124.8723	69	30	10.61	10.61
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	19	99671921046	99672387745	466699	879.0027	93.5372	33	24	10.28	10.28
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	19	99671921046	99672387745	466699	879.0027	93.5372	33	24	10.83	10.83
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	20	99672487725	99672771036	283311	924.0247	88.9465	52	18	10.42	10.42
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	20	99672487725	99672771036	283311	924.0247	88.9465	52	18	11.03	11.03
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	21	99672804293	99672887691	83398	464.7443	117.4192	76	22	10.73	10.73
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	21	99672804293	99672887691	83398	464.7443	117.4192	76	22	10.83	10.83
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	22	99672904264	99672987686	83422	454.8192	131.5165	6	6	10.76	10.76
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	22	99672904264	99672987686	83422	454.8192	131.5165	6	6	10.98	10.98
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	23	99673004272	99673356469	352197	356.6093	165.0879	28	56	10.68	10.68
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	23	99673004272	99673356469	352197	356.6093	165.0879	28	56	10.91	10.91
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	24	99673387537	99673504333	116796	-2	-91	1	90	11.33	11.33
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	24	99673572186	99673704247	132061	-2.0254	-91	2	91	10.17	10.17
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	25	99673587554	99673720919	133365	-2.0223	-91	2	91	10.73	10.73
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	25	99673854372	99673987632	133260	400.513	282.5984	27	63	11.44	11.44
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	26	99673871150	99674056164	185014	404.5202	267.1008	11	68	11.26	11.26
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	27	99674104239	99674670953	566714	405.5718	203.358	57	38	10.97	10.97
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	26	99674104239	99674670953	566714	405.5718	203.358	57	38	11.28	11.28
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	28	99674687597	99674954228	266631	458.8041	155.3771	45	45	10.49	10.49
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	27	99674687597	99674954228	266631	458.8041	155.3771	45	45	10.78	10.78
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	29	99674971082	99675304154	333072	509.5336	132.9804	13	9	10.62	10.62
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	28	99674971082	99675304154	333072	509.5336	132.9804	13	9	11.00	11.00
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	30	99675354208	99675770979	416771	520.7753	96.6801	32	66	10.79	10.79
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	29	99675354208	99675770979	416771	520.7753	96.6801	32	66	11.29	11.29
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	31	99676004119	99676354216	350097	625.0726	107.763	39	24	10.91	10.91
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	30	99676004119	99676354216	350097	625.0726	107.763	39	24	11.50	11.50
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	32	99676520787	99676687446	166659	746.8668	48.9339	22	68	10.79	10.79
25	right	stimulus_3775	3775	stimulus_3775	3775	Fixation R	31	99676520787	99676687446	166659	746.8668	48.9339	22	68	11.21	11.21
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	33	99676770850	99676920767	149917	753.9974	97.3408	9	46	10.73	10.73
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	34	99676948288	99677154429	206141	-2	-91	2	91	10.73	10.73
25	left	stimulus_3775	3775	stimulus_3775	3775	Fixation L	35	99679052794	99679146732	93938	297.1653	-23.4173	12	82	11.75	11.75
